message_id,date,sender,text,views,threat_level
msg_-1002214903849_13991,2026-07-23T12:58:35+00:00,7390416221,I need link breach please,10,LOW
msg_-1002214903849_13990,2026-07-23T12:40:23+00:00,1347724371,Anyone have paypal USA dm now',10,LOW
msg_-1002214903849_13989,2026-07-23T12:39:44+00:00,5891012599,thank u,10,LOW
msg_-1002214903849_13988,2026-07-23T12:39:12+00:00,8446373426,I think so—let me check.,10,LOW
msg_-1002214903849_13987,2026-07-23T12:38:18+00:00,5891012599,ok,10,LOW
msg_-1002214903849_13986,2026-07-23T12:37:25+00:00,8446373426,Nop,10,LOW
msg_-1002214903849_13985,2026-07-23T12:34:26+00:00,5891012599,u have nulled link forums 🥲,10,LOW
msg_-1002214903849_13984,2026-07-23T12:34:06+00:00,5891012599,forget bro,10,LOW
msg_-1002214903849_13983,2026-07-23T12:33:47+00:00,5891012599,forge,10,LOW
msg_-1002214903849_13982,2026-07-23T12:31:22+00:00,8446373426,I don't see anything.,10,LOW
msg_-1002214903849_13981,2026-07-23T12:29:10+00:00,5891012599,verificat system Raidforums,10,LOW
msg_-1002214903849_13980,2026-07-23T12:28:08+00:00,8446373426,What do you want me to verify?,10,LOW
msg_-1002214903849_13979,2026-07-23T12:27:04+00:00,5891012599,verifica,10,LOW
msg_-1002214903849_13978,2026-07-23T12:26:36+00:00,8446373426,What are you talking about?,10,LOW
msg_-1002214903849_13976,2026-07-23T12:25:22+00:00,5891012599,lok th suffering,10,LOW
msg_-1002214903849_13975,2026-07-23T12:24:40+00:00,8446373426,"Great, because the question...",10,LOW
msg_-1002214903849_13974,2026-07-23T12:24:16+00:00,5891012599,usa,10,LOW
msg_-1002214903849_13972,2026-07-23T12:22:47+00:00,5891012599,whre u fro,10,LOW
msg_-1002214903849_13970,2026-07-23T12:22:13+00:00,8446373426,clone sins,10,LOW
msg_-1002214903849_13969,2026-07-23T12:21:15+00:00,5891012599,what u mean,10,LOW
msg_-1002214903849_14032,2026-07-25T10:39:49+00:00,6571026907,Any one KYC bypass method for Android,10,LOW
msg_-1002214903849_14031,2026-07-25T10:39:30+00:00,6571026907,Hallo,10,LOW
